"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"13/07/2023";"0000";"21,5";"21,9";"21,5";"94,0";"94,0";"92,0";"20,4";"20,6";"20,4";"983,0";"983,1";"982,6";"2,7";"142,0";"5,5";"";"0,0"
"13/07/2023";"0100";"21,2";"21,5";"21,2";"95,0";"95,0";"94,0";"20,4";"20,5";"20,3";"983,1";"983,2";"983,0";"3,2";"154,0";"6,0";"";"0,0"
"13/07/2023";"0200";"21,0";"21,3";"20,9";"95,0";"95,0";"94,0";"20,2";"20,4";"20,1";"983,1";"983,2";"983,0";"2,7";"153,0";"6,0";"";"0,0"
"13/07/2023";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13/07/2023";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13/07/2023";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13/07/2023";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13/07/2023";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13/07/2023";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13/07/2023";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13/07/2023";"1000";"21,7";"21,7";"20,1";"96,0";"99,0";"96,0";"21,0";"21,2";"19,8";"984,0";"984,0";"983,3";"0,6";"275,0";"2,4";"454,30";"0,0"
"13/07/2023";"1100";"23,7";"23,8";"21,1";"88,0";"97,0";"88,0";"21,6";"21,9";"20,2";"984,9";"984,9";"984,0";"1,3";"211,0";"2,3";"976,80";"0,0"
"13/07/2023";"1200";"25,5";"25,9";"23,4";"77,0";"89,0";"75,0";"21,2";"22,1";"20,8";"985,2";"985,2";"984,9";"1,0";"140,0";"2,9";"1852,10";"0,0"
"13/07/2023";"1300";"26,0";"26,2";"25,2";"68,0";"77,0";"68,0";"19,7";"21,5";"19,4";"985,0";"985,3";"985,0";"1,9";"205,0";"3,4";"2892,90";"0,0"
"13/07/2023";"1400";"27,8";"27,8";"25,8";"67,0";"73,0";"64,0";"21,2";"21,3";"19,6";"984,5";"985,0";"984,5";"1,6";"147,0";"4,0";"3331,10";"0,0"
"13/07/2023";"1500";"28,4";"28,5";"26,3";"61,0";"72,0";"61,0";"20,1";"21,3";"19,2";"983,6";"984,5";"983,6";"1,8";"174,0";"4,2";"3433,20";"0,0"
"13/07/2023";"1600";"28,3";"28,7";"26,6";"59,0";"68,0";"58,0";"19,7";"20,8";"19,1";"982,7";"983,6";"982,7";"1,1";"179,0";"5,2";"3065,70";"0,0"
"13/07/2023";"1700";"29,2";"29,2";"26,8";"59,0";"68,0";"56,0";"20,4";"21,3";"19,1";"981,8";"982,7";"981,8";"1,0";"318,0";"3,0";"2409,70";"0,0"
"13/07/2023";"1800";"27,8";"29,3";"27,5";"58,0";"65,0";"58,0";"18,9";"21,2";"18,5";"981,2";"981,7";"981,2";"1,4";"161,0";"3,2";"1988,20";"0,0"
"13/07/2023";"1900";"27,1";"28,4";"27,1";"66,0";"67,0";"57,0";"20,1";"20,8";"18,7";"981,0";"981,3";"981,0";"2,1";"90,0";"3,7";"698,60";"0,0"
"13/07/2023";"2000";"25,9";"27,1";"25,9";"74,0";"74,0";"65,0";"20,9";"20,9";"19,7";"981,4";"981,4";"981,0";"2,0";"83,0";"5,2";"189,10";"0,0"
"13/07/2023";"2100";"24,5";"25,9";"24,5";"86,0";"86,0";"74,0";"21,9";"21,9";"21,0";"981,9";"981,9";"981,4";"3,3";"110,0";"6,5";"22,00";"0,0"
"13/07/2023";"2200";"23,3";"24,5";"23,3";"88,0";"89,0";"86,0";"21,3";"22,0";"21,3";"982,7";"982,7";"981,9";"3,4";"116,0";"7,3";"";"0,0"
"13/07/2023";"2300";"22,6";"23,3";"22,6";"93,0";"93,0";"88,0";"21,4";"21,4";"21,3";"982,9";"982,9";"982,5";"3,8";"113,0";"7,3";"";"0,0"
"14/07/2023";"0000";"22,2";"22,6";"22,2";"95,0";"95,0";"93,0";"21,4";"21,5";"21,4";"983,4";"983,4";"982,9";"2,1";"119,0";"6,2";"";"0,0"
"14/07/2023";"0100";"22,0";"22,2";"22,0";"96,0";"96,0";"95,0";"21,3";"21,4";"21,3";"983,6";"983,7";"983,3";"2,3";"111,0";"4,4";"";"0,0"
"14/07/2023";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14/07/2023";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14/07/2023";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14/07/2023";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14/07/2023";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14/07/2023";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14/07/2023";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14/07/2023";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14/07/2023";"1000";"21,0";"21,1";"20,7";"99,0";"99,0";"99,0";"20,8";"20,9";"20,5";"983,7";"983,7";"983,1";"0,7";"312,0";"1,3";"194,40";"0,0"
"14/07/2023";"1100";"22,0";"22,1";"20,9";"98,0";"99,0";"98,0";"21,6";"21,6";"20,7";"984,5";"984,5";"983,7";"1,7";"354,0";"3,0";"672,20";"0,0"
"14/07/2023";"1200";"24,3";"24,4";"21,8";"85,0";"98,0";"83,0";"21,7";"22,3";"20,6";"985,0";"985,0";"984,5";"1,8";"18,0";"4,0";"1765,40";"0,0"
"14/07/2023";"1300";"25,5";"25,8";"24,0";"76,0";"85,0";"73,0";"20,9";"22,1";"20,5";"984,9";"985,0";"984,9";"1,7";"33,0";"4,2";"2917,70";"0,0"
"14/07/2023";"1400";"26,9";"27,0";"25,2";"69,0";"77,0";"67,0";"20,8";"21,5";"19,8";"984,5";"984,9";"984,5";"2,5";"19,0";"4,9";"3462,80";"0,0"
"14/07/2023";"1500";"28,1";"28,2";"26,6";"67,0";"73,0";"61,0";"21,4";"21,7";"19,3";"983,8";"984,5";"983,8";"1,7";"36,0";"5,0";"3657,30";"0,0"
"14/07/2023";"1600";"28,6";"28,9";"27,4";"60,0";"67,0";"57,0";"20,1";"21,4";"19,2";"982,9";"983,8";"982,9";"1,8";"24,0";"3,9";"3632,80";"0,0"
"14/07/2023";"1700";"28,8";"29,9";"28,2";"52,0";"63,0";"52,0";"17,8";"21,5";"17,8";"982,0";"982,9";"982,0";"1,9";"152,0";"4,1";"3116,70";"0,0"
"14/07/2023";"1800";"28,8";"28,9";"28,4";"56,0";"60,0";"52,0";"19,2";"20,0";"18,1";"981,5";"982,0";"981,5";"1,2";"143,0";"4,2";"2411,90";"0,0"
"14/07/2023";"1900";"27,7";"28,9";"27,7";"57,0";"60,0";"53,0";"18,3";"19,3";"18,1";"981,5";"981,6";"981,4";"1,4";"152,0";"4,0";"523,00";"0,0"
"14/07/2023";"2000";"26,2";"27,9";"26,2";"64,0";"65,0";"56,0";"18,9";"19,3";"18,1";"981,5";"981,5";"981,4";"1,5";"90,0";"3,7";"158,90";"0,0"
"14/07/2023";"2100";"24,7";"26,2";"24,7";"71,0";"72,0";"64,0";"19,2";"19,4";"18,7";"982,1";"982,1";"981,5";"1,4";"98,0";"2,4";"15,50";"0,0"
"14/07/2023";"2200";"23,9";"24,9";"23,9";"86,0";"86,0";"71,0";"21,5";"21,5";"19,0";"982,8";"982,8";"982,1";"3,2";"111,0";"5,5";"";"0,0"
"14/07/2023";"2300";"22,9";"23,9";"22,9";"90,0";"91,0";"87,0";"21,3";"21,6";"21,3";"983,5";"983,5";"982,8";"3,6";"107,0";"6,6";"";"0,0"
"15/07/2023";"0000";"22,2";"22,9";"22,2";"94,0";"94,0";"90,0";"21,2";"21,3";"21,2";"984,3";"984,3";"983,5";"2,8";"100,0";"6,6";"";"0,0"
"15/07/2023";"0100";"22,2";"22,3";"22,0";"96,0";"97,0";"94,0";"21,6";"21,8";"21,2";"984,7";"984,7";"984,3";"3,3";"92,0";"6,1";"";"0,0"
"15/07/2023";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15/07/2023";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15/07/2023";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15/07/2023";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15/07/2023";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15/07/2023";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15/07/2023";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15/07/2023";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15/07/2023";"1000";"22,1";"22,1";"20,9";"99,0";"99,0";"98,0";"21,9";"21,9";"20,7";"984,8";"984,8";"984,1";"2,3";"109,0";"4,5";"398,00";"0,0"
"15/07/2023";"1100";"23,2";"23,2";"22,0";"96,0";"99,0";"96,0";"22,5";"22,5";"21,7";"985,7";"985,7";"984,8";"2,7";"97,0";"5,2";"904,60";"0,0"
"15/07/2023";"1200";"24,5";"25,2";"23,2";"84,0";"96,0";"82,0";"21,6";"22,7";"21,6";"986,2";"986,2";"985,7";"2,1";"108,0";"5,6";"1529,80";"0,0"
"15/07/2023";"1300";"26,6";"26,9";"24,2";"76,0";"86,0";"73,0";"22,0";"22,6";"21,3";"986,0";"986,2";"986,0";"2,9";"59,0";"5,0";"2488,90";"0,0"
"15/07/2023";"1400";"26,4";"27,6";"25,7";"72,0";"79,0";"64,0";"21,0";"22,4";"20,2";"985,8";"986,0";"985,8";"2,8";"95,0";"6,3";"2515,30";"0,0"
"15/07/2023";"1500";"28,0";"28,6";"26,4";"62,0";"72,0";"59,0";"20,0";"21,7";"19,4";"985,0";"985,8";"985,0";"3,5";"90,0";"6,3";"3340,10";"0,0"
"15/07/2023";"1600";"29,2";"29,2";"27,7";"58,0";"63,0";"57,0";"20,0";"20,9";"19,0";"984,0";"985,0";"984,0";"3,2";"113,0";"8,2";"3332,40";"0,0"
"15/07/2023";"1700";"28,5";"29,8";"27,8";"57,0";"60,0";"54,0";"19,1";"20,3";"18,3";"983,1";"984,0";"983,1";"4,2";"146,0";"8,1";"2498,00";"0,0"
"15/07/2023";"1800";"28,6";"29,2";"28,2";"57,0";"59,0";"53,0";"19,1";"19,9";"18,1";"982,7";"983,1";"982,6";"3,8";"142,0";"8,1";"2352,20";"0,0"
"15/07/2023";"1900";"27,3";"28,7";"27,3";"57,0";"60,0";"56,0";"18,1";"19,8";"18,0";"982,9";"982,9";"982,6";"4,4";"115,0";"8,7";"656,30";"0,0"
